x,y,gesture
10.068402,8.028338,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_5_Gesture_56.03_59.30
9.751091,5.4890227,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_6_Gesture_59.83_69.93
10.1398735,8.737032,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_7_Gesture_4.97_6.77
9.887245,5.1721673,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_8_Gesture_7.37_8.50
9.959362,5.1605387,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_9_Gesture_9.57_13.73
1.4988369,5.6769447,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_10_Gesture_9.83_10.13
9.552092,10.105114,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_11_Gesture_47.23_47.47
2.393532,4.7581143,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_12_Gesture_50.63_55.43
9.66746,10.06722,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_13_Gesture_59.87_69.97
2.012211,4.6984234,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_1_Gesture_2.10_10.70
1.2265453,9.194409,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_2_Move_28.87_30.53
1.2410312,9.141837,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_3_Gesture_38.80_38.93
1.312871,9.097032,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_4_Move_40.57_41.90
1.360302,9.079964,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_5_Move_42.93_44.97
8.208639,6.7647853,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_6_Gesture_46.27_56.00
9.603553,9.967902,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_7_Gesture_59.87_62.20
9.680155,10.064908,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_8_Gesture_63.37_69.97
1.868887,4.877412,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_9_Gesture_2.10_5.67
6.3834286,1.8794703,103_203_27_1_20250113_153217_jungle_ground_clueGiver_cam02.mp4_segment_1_Gesture_8.90_11.27
9.9055195,7.6671557,103_203_27_1_20250113_153217_jungle_ground_clueGiver_cam02.mp4_segment_2_Gesture_14.03_26.80
5.7463865,8.116987,103_203_27_1_20250113_153217_jungle_ground_clueGiver_cam02.mp4_segment_3_Gesture_27.47_27.83
6.3666005,1.8136647,103_203_27_1_20250113_153217_jungle_ground_clueGiver_cam02.mp4_segment_4_Gesture_3.20_4.60
6.4026284,1.9452285,103_203_27_1_20250113_153217_jungle_ground_clueGiver_cam02.mp4_segment_5_Gesture_6.80_6.97
6.3416104,1.8117777,103_203_27_1_20250113_153217_jungle_ground_clueGiver_cam02.mp4_segment_6_Gesture_8.47_9.97
9.808737,7.552456,103_203_27_1_20250113_153217_jungle_ground_clueGiver_cam02.mp4_segment_7_Gesture_11.37_26.27
5.662706,8.1428795,103_203_27_1_20250113_153217_jungle_ground_clueGiver_cam02.mp4_segment_8_Gesture_27.03_27.83
1.5510513,7.552228,103_203_27_1_20250113_153217_jungle_ground_guesser_cam02.mp4_segment_1_Gesture_1.80_2.90
1.1638778,9.218584,103_203_27_1_20250113_153217_jungle_ground_guesser_cam02.mp4_segment_2_Move_6.77_8.90
1.558724,7.4398165,103_203_27_1_20250113_153217_jungle_ground_guesser_cam02.mp4_segment_3_Gesture_1.70_2.50
8.883941,8.168461,103_203_28_1_20250113_153235_birthday_ground_clueGiver_cam02.mp4_segment_1_Gesture_1.87_2.87
9.791318,8.248618,103_203_28_1_20250113_153235_birthday_ground_clueGiver_cam02.mp4_segment_2_Gesture_5.27_13.03
7.4516106,8.880932,103_203_28_1_20250113_153235_birthday_ground_clueGiver_cam02.mp4_segment_3_Gesture_14.70_16.77
8.696648,7.4535985,103_203_28_1_20250113_153235_birthday_ground_clueGiver_cam02.mp4_segment_4_Gesture_1.20_2.80
9.706845,8.150652,103_203_28_1_20250113_153235_birthday_ground_clueGiver_cam02.mp4_segment_5_Gesture_4.90_16.33
7.0864935,9.210718,103_203_29_1_20250113_153255_cherry_ground_clueGiver_cam02.mp4_segment_1_Gesture_1.83_2.57
10.351333,8.152152,103_203_29_1_20250113_153255_cherry_ground_clueGiver_cam02.mp4_segment_2_Gesture_3.93_11.73
8.985617,8.544156,103_203_29_1_20250113_153255_cherry_ground_clueGiver_cam02.mp4_segment_3_Gesture_12.47_15.93
6.6340775,2.0644805,103_203_29_1_20250113_153255_cherry_ground_clueGiver_cam02.mp4_segment_4_Gesture_16.63_18.40
7.1465096,9.216627,103_203_29_1_20250113_153255_cherry_ground_clueGiver_cam02.mp4_segment_5_Gesture_1.47_2.07
10.056288,8.718912,103_203_29_1_20250113_153255_cherry_ground_clueGiver_cam02.mp4_segment_6_Gesture_3.67_4.70
10.216839,8.126696,103_203_29_1_20250113_153255_cherry_ground_clueGiver_cam02.mp4_segment_7_Gesture_5.43_13.17
10.048512,8.8754835,103_203_29_1_20250113_153255_cherry_ground_clueGiver_cam02.mp4_segment_8_Gesture_14.80_15.07
6.948834,5.875859,103_203_29_1_20250113_153255_cherry_ground_clueGiver_cam02.mp4_segment_9_Gesture_15.77_18.57
1.8030603,4.596782,103_203_29_1_20250113_153255_cherry_ground_guesser_cam02.mp4_segment_1_Gesture_2.13_4.20
1.9924611,4.4581923,103_203_29_1_20250113_153255_cherry_ground_guesser_cam02.mp4_segment_2_Gesture_2.13_3.63
2.2954865,8.090805,103_203_29_1_20250113_153255_cherry_ground_guesser_cam02.mp4_segment_3_Gesture_6.63_6.87
7.036136,5.9749227,103_203_30_1_20250113_153310_exam_ground_clueGiver_cam02.mp4_segment_1_Gesture_9.20_10.40
6.3761725,1.879903,103_203_30_1_20250113_153310_exam_ground_clueGiver_cam02.mp4_segment_2_Gesture_1.50_1.73
6.3806405,1.8446773,103_203_30_1_20250113_153310_exam_ground_clueGiver_cam02.mp4_segment_3_Gesture_3.63_4.73
6.382625,1.8232244,103_203_30_1_20250113_153310_exam_ground_clueGiver_cam02.mp4_segment_4_Gesture_6.77_7.07
8.779697,6.9186797,103_203_30_1_20250113_153310_exam_ground_clueGiver_cam02.mp4_segment_5_Gesture_8.43_10.07
6.7641582,2.8788767,103_203_30_1_20250113_153310_exam_ground_clueGiver_cam02.mp4_segment_6_Gesture_13.07_13.33
1.2490064,9.277899,103_203_30_1_20250113_153310_exam_ground_guesser_cam02.mp4_segment_1_Move_0.80_1.03
1.2106681,9.230656,103_203_30_1_20250113_153310_exam_ground_guesser_cam02.mp4_segment_2_Move_1.80_9.37
9.753051,5.5676436,103_203_31_1_20250113_153333_flower_ground_clueGiver_cam02.mp4_segment_1_Gesture_4.67_11.60
9.023192,8.536706,103_203_31_1_20250113_153333_flower_ground_clueGiver_cam02.mp4_segment_2_Gesture_12.33_13.23
9.94838,7.8919096,103_203_31_1_20250113_153333_flower_ground_clueGiver_cam02.mp4_segment_3_Gesture_17.93_21.70
9.940028,8.515089,103_203_31_1_20250113_153333_flower_ground_clueGiver_cam02.mp4_segment_4_Gesture_4.33_5.00
9.883068,5.104882,103_203_31_1_20250113_153333_flower_ground_clueGiver_cam02.mp4_segment_5_Gesture_5.67_9.57
9.172448,8.164804,103_203_31_1_20250113_153333_flower_ground_clueGiver_cam02.mp4_segment_6_Gesture_10.30_14.27
9.930858,8.371884,103_203_31_1_20250113_153333_flower_ground_clueGiver_cam02.mp4_segment_7_Gesture_15.70_18.23
10.544676,8.660933,103_203_31_1_20250113_153333_flower_ground_clueGiver_cam02.mp4_segment_8_Gesture_19.00_19.67
6.9552464,5.882216,103_203_31_1_20250113_153333_flower_ground_clueGiver_cam02.mp4_segment_9_Gesture_20.23_21.87
5.7827454,9.129637,103_203_32_1_20250113_153341_coffee_ground_clueGiver_cam02.mp4_segment_1_Gesture_5.60_6.63
6.106714,8.566559,103_203_32_1_20250113_153341_coffee_ground_clueGiver_cam02.mp4_segment_2_Gesture_5.27_6.07
1.1419796,9.230152,103_203_32_1_20250113_153341_coffee_ground_guesser_cam02.mp4_segment_1_Move_1.23_1.57
1.1242883,9.077025,103_203_32_1_20250113_153341_coffee_ground_guesser_cam02.mp4_segment_2_Move_3.17_4.57
1.1656353,9.199899,103_203_32_1_20250113_153341_coffee_ground_guesser_cam02.mp4_segment_3_Move_5.53_6.73
6.128236,3.9634302,103_203_34_1_20250113_153427_picture_ground_clueGiver_cam02.mp4_segment_1_Gesture_0.90_1.87
8.776724,8.694325,103_203_34_1_20250113_153427_picture_ground_clueGiver_cam02.mp4_segment_2_Gesture_7.00_8.57
8.80711,9.007425,103_203_34_1_20250113_153427_picture_ground_clueGiver_cam02.mp4_segment_3_Gesture_9.50_11.00
8.7598095,9.034928,103_203_34_1_20250113_153427_picture_ground_clueGiver_cam02.mp4_segment_4_Gesture_11.90_13.10
8.198994,9.424854,103_203_34_1_20250113_153427_picture_ground_clueGiver_cam02.mp4_segment_5_Gesture_15.33_16.70
8.663244,8.867453,103_203_34_1_20250113_153427_picture_ground_clueGiver_cam02.mp4_segment_6_Gesture_19.80_21.30
6.109445,3.9832203,103_203_34_1_20250113_153427_picture_ground_clueGiver_cam02.mp4_segment_7_Gesture_0.80_1.27
8.805728,8.183057,103_203_34_1_20250113_153427_picture_ground_clueGiver_cam02.mp4_segment_8_Gesture_6.80_12.67
8.469374,9.066792,103_203_34_1_20250113_153427_picture_ground_clueGiver_cam02.mp4_segment_9_Gesture_13.33_21.30
6.8482833,5.619892,103_203_35_1_20250113_153443_yellow_ground_clueGiver_cam02.mp4_segment_10_Gesture_13.33_15.10
6.19888,3.9644117,103_203_35_1_20250113_153443_yellow_ground_clueGiver_cam02.mp4_segment_1_Gesture_0.80_1.87
1.6527216,7.5811048,103_203_35_1_20250113_153443_yellow_ground_clueGiver_cam02.mp4_segment_2_Gesture_2.87_3.70
8.968493,9.3382635,103_203_35_1_20250113_153443_yellow_ground_clueGiver_cam02.mp4_segment_3_Gesture_5.13_9.97
9.458914,10.08764,103_203_35_1_20250113_153443_yellow_ground_clueGiver_cam02.mp4_segment_4_Gesture_11.67_12.50
6.4015813,4.2878723,103_203_35_1_20250113_153443_yellow_ground_clueGiver_cam02.mp4_segment_5_Gesture_13.70_15.10
