gesture_id,video_id,active_hand,space_use,mcneillian_max,mcneillian_mode,volume,max_height,duration,hold_count,hold_time,hold_avg_duration,hand_submovements,hand_submovement_peak_max,hand_submovement_peak_mean,hand_mean_submovement_amplitude,elbow_submovements,elbow_mean_submovement_amplitude,hand_peak_speed,hand_mean_speed,hand_peak_acceleration,hand_peak_deceleration,hand_peak_jerk,elbow_peak_speed,elbow_mean_speed,elbow_peak_acceleration,elbow_peak_deceleration,elbow_peak_jerk
103_203_43_1_20250113_153626_gravy_ground_clueGiver_cam02.mp4_segment_5_Gesture_9.47_10.63,103,L,1,4,4,0.0032056576612602755,2.330469908852431,1.16,1,0.12,3.0,2,0.9211643051599869,0.7077279038081072,0.7077279038081072,2,0.17716718495257822,0.9664674140762364,0.32429154773029445,5.604681860879628,0.20142759396002632,93.63992819342532,0.19873111451359343,0.09489768830917757,1.8036110404761194,0.04091063666117161,23.54699459950092
103_203_45_1_20250113_153745_walnut_board_clueGiver_cam02.mp4_segment_1_Gesture_5.27_32.03,103,R,4,4,4,0.019644047931258686,5.0,26.76,42,14.96,8.904761904761905,49,0.6893661511585351,0.19773726627303745,0.19773726627303737,45,0.14941997569330762,0.6952571411887305,0.12009654371686235,4.911765152727304,0.01566143925564176,53.1795948930383,0.48535147212072466,0.086640394645544,3.3683492355167304,0.004664918145881733,35.00610839537817
103_203_45_1_20250113_153745_walnut_board_clueGiver_cam02.mp4_segment_2_Gesture_34.17_40.30,103,R,2,4,4,0.005854559965377585,3.7840839801454655,6.12,7,3.76,13.428571428571429,8,0.7588290191766293,0.24654436862884724,0.24654436862884727,11,0.09758094485358715,0.8009605772086613,0.11294366830801801,4.239727163479349,0.026848443060291424,58.98054953614938,0.2767509153947849,0.06061058651819673,2.1051947139696687,0.022454809820653635,23.965205819716726
103_203_45_1_20250113_153745_walnut_board_clueGiver_cam02.mp4_segment_3_Gesture_1.60_2.37,103,R,1,2,2,1.681508773622076e-05,2.4723582364067025,0.76,1,0.12,3.0,2,0.1245891918367186,0.09889826396964324,0.09889826396964324,1,0.07025736400865805,0.12674777686965974,0.06800562042661623,0.7789461709313992,0.1057856952797357,10.211935163285787,0.06948570387869323,0.04977979973928886,0.42037644032688504,0.07417975771641373,5.054693004549106
103_203_45_1_20250113_153745_walnut_board_clueGiver_cam02.mp4_segment_4_Gesture_4.43_10.57,103,R,2,4,4,0.004998957903213844,2.9458680654131846,6.12,11,3.84,8.727272727272727,11,1.083086880375102,0.23958085303321638,0.23958085303321638,9,0.11218036071407507,1.1511406699125681,0.13059846127891328,7.038440764970359,0.03396588866315239,97.7715535824195,0.29840515391365663,0.060368891660619234,1.6718482551814735,0.0030782180627724185,23.533885226733627
103_203_45_1_20250113_153745_walnut_board_clueGiver_cam02.mp4_segment_5_Gesture_11.10_31.17,103,R,4,4,4,0.01990872136187983,5.0,20.04,24,9.36,9.75,38,0.6793804853136637,0.18149526772574082,0.18149526772574082,32,0.14625398190423683,0.6781617756351787,0.11828705340194917,4.884207040497094,0.011227254590499183,53.20395779238608,0.5071433151768154,0.08886539832600136,2.881873879683004,0.014706541174283534,38.20566530453324
103_203_45_1_20250113_153745_walnut_board_clueGiver_cam02.mp4_segment_6_Gesture_34.20_37.47,103,L,2,4,4,0.006790057001014363,2.4401068231907925,3.24,5,2.36,11.8,5,1.1528319826578086,0.3025217331796624,0.3025217331796624,5,0.09178598509855747,1.1895223333735099,0.14071375033921213,7.309881563338311,0.02312344994143886,98.61967199456714,0.31905090421227955,0.04790223563417608,1.9788335337171716,0.038941595890215217,29.663676077690535
103_203_45_1_20250113_153745_walnut_board_clueGiver_cam02.mp4_segment_7_Gesture_38.07_38.20,103,L,1,4,4,4.263027107591784e-06,0.0,0.12,0,0.0,0.0,1,0.04448666004761406,0.04448666004761406,0.04448666004761406,1,0.017341621494125315,0.044515845017329844,0.04448666004761406,0.000729891440395549,0.000729891440395549,0.0,0.017350169969524442,0.017341621494125315,0.00021690091580558126,0.00021690091580558126,0.0
103_203_45_1_20250113_153745_walnut_board_clueGiver_cam02.mp4_segment_8_Gesture_39.00_40.53,103,R,2,4,2,0.002175906307890846,2.8306494315995248,1.52,1,0.32,8.0,2,0.741220903752901,0.4726728677958722,0.4726728677958722,3,0.19330995678045126,0.7700985036563102,0.2185686778292205,3.874897741154073,0.16788827862210803,49.86880705634802,0.2704049548969751,0.11725313344272723,1.842326363125438,0.11240631471139569,24.338745944498275
103_203_45_1_20250113_153745_walnut_board_guesser_cam02.mp4_segment_1_Gesture_0.80_15.10,103,L,2,4,4,0.003196362233459181,2.224322262372804,14.28,14,11.16,19.928571428571427,19,0.7170766885589415,0.17379707095281507,0.17379707095281505,14,0.12089461959023905,0.7620794723567881,0.0778087769579615,4.234108319736303,0.006060971669648797,62.85695793569544,0.3594224327231499,0.04552636947776014,1.917413713193588,0.002353060975473768,31.11233020908569
