time,envelope_change,sway_speed,sway_lean
2.43,0.0044452269857426,0.0,0.0
2.432,0.0051306204272619,0.0,0.0
2.434,0.0058754461793208,0.0,0.0
2.436,0.0066793708909407,0.0,0.0
2.438,0.0075415336534413,0.0,0.0
2.44,0.0084605593296034,0.0,0.0
2.442,0.0094345794528668,0.0,0.0
2.444,0.010461261333423,0.0,0.0
2.446,0.0115378457819289,0.0,0.0
2.448,0.0126611935781831,0.0,0.0
2.45,0.0138278404253476,0.0,0.0
2.452,0.0150340596280697,0.0,0.0
2.454,0.0162759311059154,0.0,0.0
2.456,0.0175494146401006,0.0,0.0
2.458,0.0188504245257748,0.0,0.0
2.46,0.0201749020513574,0.0,0.0
2.462,0.0215188813699095,0.0,0.0
2.464,0.0228785433879721,0.0,0.0
2.466,0.0242502516646013,0.0,0.0
2.468,0.025630564804027,0.0,0.0
2.47,0.0270162222483245,0.0,0.0
2.472,0.0284041042705309,0.0,0.0
2.474,0.0297911701050867,0.0,0.0
2.476,0.0311743794237407,0.0,0.0
2.478,0.0325506027547239,0.0,0.0
2.48,0.0339165265435515,0.0,0.0
2.482,0.0352685588708275,0.0,0.0
2.484,0.0366027422088941,0.0,0.0
2.486,0.0379146792202726,0.0,0.0
2.488,0.0391994772165657,0.0,0.0
2.49,0.0404517165136448,0.0,0.0
2.492,0.0416654470885057,0.0,0.0
2.494,0.0428342171724696,0.0,0.0
2.496,0.043951136338864,0.0,0.0
2.498,0.0450089741721646,0.0,0.0
2.5,0.0460002937161708,0.0,0.0
2.502,0.0469176167051852,0.0,0.0
2.504,0.0477536159660169,0.0,0.0
2.506,0.0485013290535915,0.0,0.0
2.508,0.0491543861832989,0.0,0.0
2.51,0.0497072446905752,0.0,0.0
2.512,0.050155421266862,0.0,0.0
2.514,0.0504957136018413,0.0,0.0
2.516,0.0507264040607799,0.0,0.0
2.518,0.0508474392825418,0.0,0.0
2.52,0.0508605825390425,0.0,0.0
2.522,0.0507695366074691,0.0,0.0
2.524,0.050580033300647,0.0,0.0
2.526,0.0502998862545828,0.0,0.0
2.528,0.0499390010400262,0.0,0.0
2.53,0.0495093278027821,0.0,0.0
2.532,0.0490247350985273,0.0,0.0
2.534,0.0485007822175225,0.0,0.0
2.536,0.0479543703144927,0.0,0.0
2.538,0.0474032660639039,0.0,0.0
2.54,0.0468655138836761,0.0,0.0
2.542,0.0463587730689056,0.0,0.0
2.544,0.0458996276875757,0.0,0.0
2.546,0.045502917600134,0.0,0.0
2.548,0.0451811304348877,0.0,0.0
2.55,0.044943884320636,0.0,0.0
2.552,0.0447975230304044,0.0,0.0
2.554,0.044744835423772,0.0,0.0
2.556,0.0447849015725991,0.0,0.0
2.558,0.0449130677280412,0.0,0.0
2.56,0.0451210608184834,0.0,0.0
2.562,0.0453972552988635,0.0,0.0
2.564,0.0457270931993476,0.0,0.0
2.566,0.0460936437674455,0.0,0.0
2.568,0.0464782801553368,0.0,0.0
2.57,0.0468614415142001,0.0,0.0
2.572,0.0472234450428729,0.0,0.0
2.574,0.0475453235517683,0.0,0.0
2.576,0.0478096725725584,0.0,0.0
2.578,0.0480014808261202,0.0,0.0
2.58,0.048108904546968,0.0,0.0
2.582,0.048123942715888,0.0,0.0
2.584,0.0480429754394838,0.0,0.0
2.586,0.0478671441450028,0.0,0.0
2.588,0.0476025688611321,0.0,0.0
2.59,0.0472604021374348,0.0,0.0
2.592,0.0468567262631058,0.0,0.0
2.594,0.0464123130880411,0.0,0.0
2.596,0.0459522658513696,0.0,0.0
2.598,0.0455055537696027,0.0,0.0
2.6,0.0451044392468738,0.0,0.0
2.602,0.0447837842416672,0.0,0.0
2.604,0.0445802180493069,0.0,0.0
2.606,0.0445311527726473,0.0,0.0
2.608,0.044673639258004,0.0,0.0
2.61,0.0450430662194855,0.0,0.0
2.612,0.0456717093394563,0.0,0.0
2.614,0.0465871378084461,0.0,0.0
2.616,0.0478104863333743,0.0,0.0
2.618,0.0493545924029978,0.0,0.0
2.62,0.0512222239376328,0.0,0.0
2.622,0.0534050955174719,0.0,0.0
2.624,0.0558841692085161,0.0,0.0
2.626,0.0586308352153187,0.0,0.0
2.628,0.061608322818325,0.0,0.0
2.63,0.064773122803428,0.0,0.0
2.632,0.0680764174966152,0.0,0.0
2.634,0.0714655100328707,0.0,0.0
2.636,0.0748852391399843,0.0,0.0
2.638,0.0782793595657636,0.0,0.0
2.64,0.081591863530738,0.0,0.0
2.642,0.0847682150220208,0.0,0.0
2.644,0.087756470700752,0.0,0.0
2.646,0.0905082653010735,0.0,0.0
2.648,0.0929796444460995,0.0,0.0
2.65,0.0951317385400122,0.0,0.0
2.652,0.0969312809168851,0.0,0.0
2.654,0.0983509801813242,0.0,0.0
2.656,0.0993697622670706,0.0,0.0
2.658,0.0999728984191348,0.0,0.0
2.66,0.1001520323397231,0.0,0.0
2.662,0.0999051148626107,0.0,0.0
2.664,0.0992362518100169,0.0,0.0
2.666,0.0981554692490846,0.0,0.0
2.668,0.0966783968431435,0.0,0.0
2.67,0.0948258724381103,0.0,0.0
2.672,0.0926234796759163,0.0,0.0
2.674,0.0901010356336977,0.0,0.0
2.676,0.0872920453243509,0.0,0.0
2.678,0.0842331371510144,0.0,0.0
