pair_id,participant_1_id,participant_2_id,session_date,trial_end_time,trial_number,clue_giver_id,clue_giver_condition,target_word,taboo_1,taboo_2,taboo_3,taboo_4,taboo_5,audio_file_name,video_clue_giver_cam01,video_clue_giver_cam02,video_guesser_cam01,video_guesser_cam02,textgrid_file_name
103_203,103,203,13/01/2025,13/01/2025 15:40,52,203,board,zipper,clothes,close,pants,teeth,metal,103_203_52_1_20250113_154037_zipper_board.wav,103_203_52_1_20250113_154037_zipper_board_clueGiver_cam01.mp4,103_203_52_1_20250113_154037_zipper_board_clueGiver_cam02.mp4,103_203_52_1_20250113_154037_zipper_board_guesser_cam01.mp4,103_203_52_1_20250113_154037_zipper_board_guesser_cam02.mp4,103_203_52_20250113_154037_zipper_board_p2.TextGrid
103_203,103,203,13/01/2025,13/01/2025 15:40,53,203,board,river,water,stream,flow,big,bridge,103_203_53_1_20250113_154055_river_board.wav,103_203_53_1_20250113_154055_river_board_clueGiver_cam01.mp4,103_203_53_1_20250113_154055_river_board_clueGiver_cam02.mp4,103_203_53_1_20250113_154055_river_board_guesser_cam01.mp4,103_203_53_1_20250113_154055_river_board_guesser_cam02.mp4,103_203_53_20250113_154055_river_board_p2.TextGrid
103_203,103,203,13/01/2025,13/01/2025 15:41,54,203,board,music,sound,dance,record,song,notes,103_203_54_1_20250113_154107_music_board.wav,103_203_54_1_20250113_154107_music_board_clueGiver_cam01.mp4,103_203_54_1_20250113_154107_music_board_clueGiver_cam02.mp4,103_203_54_1_20250113_154107_music_board_guesser_cam01.mp4,103_203_54_1_20250113_154107_music_board_guesser_cam02.mp4,103_203_54_20250113_154107_music_board_p2.TextGrid
108_208,108,208,14/01/2025,14/01/2025 16:24,12,108,ground,flower,plant,pretty,rose,petals,bloom,108_208_12_1_20250114_162456_flower_ground.wav,108_208_12_1_20250114_162456_flower_ground_clueGiver_cam01.mp4,108_208_12_1_20250114_162456_flower_ground_clueGiver_cam02.mp4,108_208_12_1_20250114_162456_flower_ground_guesser_cam01.mp4,108_208_12_1_20250114_162456_flower_ground_guesser_cam02.mp4,108_208_12_20250114_162456_flower_ground_p1.TextGrid
108_208,108,208,14/01/2025,14/01/2025 16:25,13,108,ground,traffic,road,sign,stop,ticket,rush,108_208_13_1_20250114_162512_traffic_ground.wav,108_208_13_1_20250114_162512_traffic_ground_clueGiver_cam01.mp4,108_208_13_1_20250114_162512_traffic_ground_clueGiver_cam02.mp4,108_208_13_1_20250114_162512_traffic_ground_guesser_cam01.mp4,108_208_13_1_20250114_162512_traffic_ground_guesser_cam02.mp4,108_208_13_20250114_162512_traffic_ground_p1.TextGrid
108_208,108,208,14/01/2025,14/01/2025 16:25,14,108,ground,zipper,clothes,close,pants,teeth,metal,108_208_14_1_20250114_162535_zipper_ground.wav,108_208_14_1_20250114_162535_zipper_ground_clueGiver_cam01.mp4,108_208_14_1_20250114_162535_zipper_ground_clueGiver_cam02.mp4,108_208_14_1_20250114_162535_zipper_ground_guesser_cam01.mp4,108_208_14_1_20250114_162535_zipper_ground_guesser_cam02.mp4,108_208_14_20250114_162535_zipper_ground_p1.TextGrid
108_208,108,208,14/01/2025,14/01/2025 16:25,15,108,ground,gravy,sauce,brown,potato,meat,mashed,108_208_15_1_20250114_162542_gravy_ground.wav,108_208_15_1_20250114_162542_gravy_ground_clueGiver_cam01.mp4,108_208_15_1_20250114_162542_gravy_ground_clueGiver_cam02.mp4,108_208_15_1_20250114_162542_gravy_ground_guesser_cam01.mp4,108_208_15_1_20250114_162542_gravy_ground_guesser_cam02.mp4,108_208_15_20250114_162542_gravy_ground_p1.TextGrid
108_208,108,208,14/01/2025,14/01/2025 16:25,16,108,ground,siren,noise,police,loud,cars,alarm,108_208_16_1_20250114_162559_siren_ground.wav,108_208_16_1_20250114_162559_siren_ground_clueGiver_cam01.mp4,108_208_16_1_20250114_162559_siren_ground_clueGiver_cam02.mp4,108_208_16_1_20250114_162559_siren_ground_guesser_cam01.mp4,108_208_16_1_20250114_162559_siren_ground_guesser_cam02.mp4,108_208_16_20250114_162559_siren_ground_p1.TextGrid
108_208,108,208,14/01/2025,14/01/2025 16:26,17,108,ground,cherry,fruit,red,small,sundae,pit,108_208_17_1_20250114_162610_cherry_ground.wav,108_208_17_1_20250114_162610_cherry_ground_clueGiver_cam01.mp4,108_208_17_1_20250114_162610_cherry_ground_clueGiver_cam02.mp4,108_208_17_1_20250114_162610_cherry_ground_guesser_cam01.mp4,108_208_17_1_20250114_162610_cherry_ground_guesser_cam02.mp4,108_208_17_20250114_162610_cherry_ground_p1.TextGrid
108_208,108,208,14/01/2025,14/01/2025 16:26,18,108,ground,coffee,latte,drink,morning,beans,caffeine,108_208_18_1_20250114_162618_coffee_ground.wav,108_208_18_1_20250114_162618_coffee_ground_clueGiver_cam01.mp4,108_208_18_1_20250114_162618_coffee_ground_clueGiver_cam02.mp4,108_208_18_1_20250114_162618_coffee_ground_guesser_cam01.mp4,108_208_18_1_20250114_162618_coffee_ground_guesser_cam02.mp4,108_208_18_20250114_162618_coffee_ground_p1.TextGrid
